price,Furnishing,Bathroom,Balcony,locality,bhk,city
170000,Semi-Furnished,5,3," Maharani Bagh, New Friends Colony, ",4 BHK Flat   ,New Delhi
180000,Unfurnished,4,2," Greater Kailash 1, ",4 BHK Flat   ,New Delhi
30000,Semi-Furnished,2,3," Gauri Ganesh Apartment, Dwarka Sector 3, ",3 BHK Flat   ,New Delhi
47000,Semi-Furnished,2,1," Poorvi Pitampura, ",3 BHK Flat   ,New Delhi
48000,Unfurnished,3,4," DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, ",3 BHK Flat   ,New Delhi
45000,Furnished,3,3," Sarita Vihar, Mathura Road, ",4 BHK Flat   ,New Delhi
70000,Unfurnished,3,3," RWA GK 2, Greater Kailash 2, ",3 BHK Flat   ,New Delhi
210000,Semi-Furnished,4,3," Defence Colony, ",3 BHK Flat   ,New Delhi
41500,Unfurnished,2,3," DDA Flats Sarita Vihar Pocket L, Sarita Vihar, Mathura Road, ",3 BHK Flat   ,New Delhi
250000,Semi-Furnished,5,3," Vasant Vihar, ",4 BHK Flat   ,New Delhi
29800,Unfurnished,2,3," DDA Flats Pocket A, Sarita Vihar, Mathura Road, ",3 BHK Flat   ,New Delhi
150000,Semi-Furnished,3,2," Defence Colony, ",3 BHK Flat   ,New Delhi
20000,Semi-Furnished,3,2," Paryavaran Complex, Sainik Farm, ",3 BHK Flat   ,New Delhi
120000,Furnished,4,4," Punjabi Bagh West, ",4 BHK Flat   ,New Delhi
42000,Semi-Furnished,2,3," DLF Capital Greens 1 and 2, Moti Nagar, Kirti Nagar, ",3 BHK Flat   ,New Delhi
130000,Unfurnished,4,3," Vasant Vihar, ",4 BHK Flat   ,New Delhi
18000,Semi-Furnished,2,2," Om Vihar Phase IV, Om Vihar, Nawada, ",3 BHK Flat   ,New Delhi
27000,Semi-Furnished,2,1," Dwarka Sector 17, ",2 BHK Flat   ,New Delhi
350000,Semi-Furnished,6,2, Paschim Vihar ,5 BHK Villa  ,New Delhi
140000,Unfurnished,4,1," Defence Colony, ",3 BHK Flat   ,New Delhi
500000,Semi-Furnished,5,5," Panchsheel Park, ",4 BHK Flat   ,New Delhi
36000,Semi-Furnished,2,2," Gyan Shakti Apartment, Dwarka Sector 6, ",3 BHK Flat   ,New Delhi
40000,Semi-Furnished,2,2," DDA Ganga Apartment Sector D Pocket 6, Vasant Kunj, ",2 BHK Flat   ,New Delhi
32000,Semi-Furnished,3,3," Upkari Apartments, Dwarka Sector 12 ",4 BHK  House  ,New Delhi
100000,Semi-Furnished,4,2," Gulmohar Park, ",3 BHK Flat   ,New Delhi
50000,Furnished,2,3," Shivalika Apartments, Dwarka Sector 9, ",3 BHK Flat   ,New Delhi
37000,Semi-Furnished,3,3," KM Apartment, Dwarka Sector 12, ",3 BHK Flat   ,New Delhi
180000,Semi-Furnished,5,4," Uday Park, South Extension, ",4 BHK Flat   ,New Delhi
38000,Semi-Furnished,3,4," Mohinder Apartments, Dwarka Sector 12, ",3 BHK Flat   ,New Delhi
120000,Semi-Furnished,4,4," Saket, ",4 BHK Flat   ,New Delhi
150000,Semi-Furnished,3,2, Safdarjung Enclave ,3 BHK Builder Floor  ,New Delhi
35000,Semi-Furnished,2,1," Gagan Vihar, Krishna Nagar ",3 BHK Builder Floor  ,New Delhi
35000,Semi-Furnished,2,1, Sarita Vihar Pocket F ,4 BHK Apartment  ,New Delhi
