,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,"24,000",Furnished,3,2,3 BHK Flat," Siddhi Darshan Apartments, Prahlad Nagar, ",Ahmedabad
1,"18,000",Semi-Furnished,2,1,2 BHK Flat," Dharti Silver, Chandkheda, ",Ahmedabad
2,"50,000",Furnished,4,1,4 BHK Flat," Gala swing, South Bopal, Bopal, ",Ahmedabad
3,130000,Furnished,4,2,4 BHK Flat," Samprat Residency II, Satellite, ",Ahmedabad
4,"22,000",Semi-Furnished,3,2,3 BHK Flat," Dwarkesh Opulence, Chandkheda, ",Ahmedabad
5,120000,Furnished,4,1,4 BHK Flat," Iris Exotica, Satellite, ",Ahmedabad
6,"32,000",Semi-Furnished,3,1,3 BHK Flat," Orchid Legacy, Sardar Patel Ring Road, ",Ahmedabad
7,"60,000",Semi-Furnished,4,1,3 BHK Villa ," Westridge, Sterling City, Bopal ",Ahmedabad
8,"85,000",Furnished,3,3,4 BHK Flat," Satellite, ",Ahmedabad
9,"40,000",Furnished,4,1,4 BHK Flat," Orchid Harmony, South Bopal, Bopal, ",Ahmedabad
10,"55,000",Unfurnished,3,1,3 BHK Flat," Altius I, Thaltej, ",Ahmedabad
11,"32,000",Semi-Furnished,3,1,3 BHK Flat," Indraprasth 5, Prahlad Nagar, ",Ahmedabad
12,"35,000",Furnished,3,3,3 BHK Flat," Marigold, South Bopal, Bopal, ",Ahmedabad
13,"40,000",Unfurnished,3,1,3 BHK Flat," Science City, ",Ahmedabad
14,180000,Furnished,5,2,5 BHK Villa , Thaltej ,Ahmedabad
15,160000,Furnished,3,2,4 BHK Flat," Sharanya Skyvue, Thaltej, ",Ahmedabad
16,"18,000",Unfurnished,2,0,2 BHK Flat," Malabar County 3, Sarkhej Gandhinagar Highway, ",Ahmedabad
17,"60,000",Furnished,4,2,4 BHK Flat," Satellite, ",Ahmedabad
18,"21,000",Semi-Furnished,2,1,2 BHK Flat," Satyadeep Heights, Makarba, ",Ahmedabad
19,"35,500",Semi-Furnished,3,1,3 BHKHouse , Science City ,Ahmedabad
20,250000,Furnished,5,1,4 BHK Villa ," Adani Shantigram North Park Phase 2 And 3, Vaishnodevi Circle ",Ahmedabad
21,"90,000",Semi-Furnished,5,1,5 BHK Flat," Riviera Elite, Shela, ",Ahmedabad
22,100000,Furnished,4,2,4 BHK Villa , Sanathal ,Ahmedabad
23,"28,000",Unfurnished,3,1,3 BHK Flat," Karnavati Riverside, Bhat, ",Ahmedabad
24,"17,000",Furnished,2,1,2 BHK Flat," Riverside Park, Vasna, ",Ahmedabad
25,"25,000",Furnished,2,1,2 BHK Flat," Sangath IPL Pure, Chandkheda, ",Ahmedabad
26,"22,000",Unfurnished,3,3,3 BHK Flat," Avani Dimora, Chandkheda, ",Ahmedabad
27,110000,Furnished,3,0,4 BHKHouse , Bodakdev ,Ahmedabad
28,"18,000",Unfurnished,2,0,3 BHK Flat," Maninagar, ",Ahmedabad
29,"35,000",Semi-Furnished,3,1,3 BHK Flat," Olive Greens, Gota, ",Ahmedabad
30,120000,Furnished,3,0,3 BHK Villa , Thaltej ,Ahmedabad
31,"31,000",Semi-Furnished,3,2,3 BHK Apartment ," Orchid Heights, Sardar Patel Ring Road ",Ahmedabad
32,"50,000",Unfurnished,3,1,3 BHK Apartment ," Enigma Flat, Thaltej ",Ahmedabad
33,"28,000",Furnished,3,1,3 BHK Apartment ," Aditya Greens, Chandkheda ",Ahmedabad
34,"37,000",Semi-Furnished,4,1,4 BHK Apartment ," Orchid Legacy, Sardar Patel Ring Road ",Ahmedabad
35,"50,000",Unfurnished,3,2,3 BHK Apartment ," Takshashila AIR, Ellisbridge ",Ahmedabad
36,"13,000",Unfurnished,2,1,2 BHK Apartment , Chandkheda ,Ahmedabad
37,100000,Furnished,3,2,3 BHK Apartment ," Olive Heights, Satellite ",Ahmedabad
38,"50,000",Semi-Furnished,4,1,4 BHK Apartment ," Serenity Lavish, Sola ",Ahmedabad
39,"23,500",Semi-Furnished,3,2,3 BHK Apartment ," Ganesh Genesis, Sarkhej Gandhinagar Highway ",Ahmedabad
40,"28,000",Semi-Furnished,5,2,4 BHK Apartment , Sarkhej Gandhinagar Highway ,Ahmedabad
41,"19,000",Unfurnished,2,1,3 BHK Apartment ," Eden Godrej Garden city, Jagatpur Village, Gota ",Ahmedabad
42,"40,000",Semi-Furnished,3,1,3 BHK Apartment ," Casa Vyoma, Vastrapur ",Ahmedabad
43,"30,000",Semi-Furnished,3,1,3 BHK Apartment ," Orchid Legacy, Sardar Patel Ring Road ",Ahmedabad
44,"15,000",Unfurnished,3,2,3 BHK Apartment , Motera ,Ahmedabad
45,"40,000",Furnished,3,1,3 BHK Apartment , Satellite ,Ahmedabad
46,"75,000",Furnished,4,3,4 BHK Apartment ," Elegance Avyukta 1, Thaltej ",Ahmedabad
47,"65,000",Furnished,3,1,3 BHK Apartment ," Copper Stone, Thaltej ",Ahmedabad
48,"32,000",Furnished,3,1,3 BHK Apartment ," Shantikunj Bliss, Science City ",Ahmedabad
49,"18,000",Semi-Furnished,2,1,2 BHK Apartment ," Sakshat Bakeri City, Vejalpur, Jivraj park ",Ahmedabad
50,"25,000",Semi-Furnished,3,1,3 BHK Apartment , Satellite Road ,Ahmedabad
51,"23,000",Semi-Furnished,3,1,3 BHK Apartment ," Ishwarcharan ICB Flora O Block, Gota ",Ahmedabad
52,"17,000",Semi-Furnished,3,3,3 BHK Apartment , Shela ,Ahmedabad
53,"18,000",Unfurnished,2,1,3 BHK Apartment ," Malabar County 3, Sarkhej Gandhinagar Highway ",Ahmedabad
54,350000,Furnished,5,1,5 BHK Penthouse , Vaishnodevi Circle ,Ahmedabad
55,"40,000",Semi-Furnished,3,1,3 BHK Apartment , Navrangpura ,Ahmedabad
56,"61,000",Furnished,3,10,3 BHK Apartment ," Sukrut Repose, Ambli Bopal Road ",Ahmedabad
57,"20,000",Semi-Furnished,2,1,2 BHK Apartment ," Gala Haven, Sarkhej Gandhinagar Highway ",Ahmedabad
58,"45,000",Semi-Furnished,3,1,3 BHK Apartment ," Maple Tree Garden Homes, Thaltej ",Ahmedabad
59,170000,Furnished,5,2,4 BHK Apartment ," Sharanya Skyvue, Thaltej ",Ahmedabad
60,120000,Furnished,3,1,3 BHK Apartment ," Maple Tree Garden Homes, Thaltej ",Ahmedabad
61,"70,000",Furnished,4,2,4 BHK Villa , Thaltej ,Ahmedabad
62,"23,000",Semi-Furnished,3,1,3 BHK Apartment ," Shivana Auram, South Bopal, Bopal ",Ahmedabad
63,"21,000",Furnished,2,1,2 BHK Apartment , Paldi ,Ahmedabad
64,"18,000",Furnished,1,1,1 BHK Apartment , Naranpura ,Ahmedabad
65,"25,000",Unfurnished,3,1,3 BHK Apartment ," South Bopal, Bopal ",Ahmedabad
66,"30,000",Furnished,2,1,2 BHK Apartment ," Project Dev 181, Dev 181, Bopal ",Ahmedabad
67,"50,000",Semi-Furnished,4,3,4 BHK Apartment ," Adani Shantigram Waterlily, Vaishnodevi Circle ",Ahmedabad
68,"18,000",Semi-Furnished,3,1,3 BHK Apartment ," Omkar Vivanta Heights, Bhadaj ",Ahmedabad
69,"80,000",Unfurnished,3,1,4 BHK Apartment ," Sharanya Skyvue, Thaltej ",Ahmedabad
70,100000,Furnished,4,2,4 BHK Apartment ," Satyamev Elysium, Science City ",Ahmedabad
71,"23,000",Semi-Furnished,2,2,3 BHK Apartment ," Vedant Shreeji Enclave, Science City ",Ahmedabad
72,100000,Furnished,4,0,4 BHK Apartment ," Indraprasth 10, Bodakdev ",Ahmedabad
73,"28,000",Furnished,2,1,2 BHK Apartment ," Shubhdarshan Apartment, Jodhpur Village, Jodhpur ",Ahmedabad
74,120000,Furnished,4,1,3 BHK Apartment ," Olive Heights, Satellite ",Ahmedabad
75,"21,000",Semi-Furnished,3,1,3 BHK Apartment ," Maher Homes 4, Shela ",Ahmedabad
76,"15,000",Unfurnished,2,2,2 BHK Apartment ," Shilp Saral, Bopal ",Ahmedabad
77,180000,Furnished,4,2,4 BHK Apartment ," Indraprasth Gulmohar, Vastrapur ",Ahmedabad
78,180000,Semi-Furnished,4,3,4 BHK Apartment ," Indraprasth Gulmohar, Vastrapur ",Ahmedabad
79,"45,000",Furnished,3,0,3 BHK Apartment ," Iscon Platinum, Bopal ",Ahmedabad
80,"18,000",Unfurnished,2,1,3 BHK Apartment ," Swastik Riviera, Vaishnodevi Circle ",Ahmedabad
81,"32,000",Furnished,3,1,3 BHK Apartment ," Elite Green, Gota ",Ahmedabad
82,"90,000",Unfurnished,4,1,4 BHK Apartment ," Popular Domain, Sarkhej Gandhinagar Highway ",Ahmedabad
83,"11,000",Unfurnished,2,2,2 BHK Apartment ," Aakruti Elegance, Gota ",Ahmedabad
84,"23,000",Unfurnished,3,1,3 BHK Apartment , Motera ,Ahmedabad
85,"80,000",Unfurnished,4,1,3 BHK Apartment ," Shaligram 3, Satellite ",Ahmedabad
86,"23,000",Semi-Furnished,2,1,2 BHK Apartment ," Richmond Grand Phase II, Makarba ",Ahmedabad
87,"80,000",Semi-Furnished,4,1,4 BHK Apartment ," Paarijat Eclat, Ambli Bopal Road ",Ahmedabad
88,"18,000",Unfurnished,2,1,2 BHK Apartment ," South Bopal, Bopal ",Ahmedabad
89,"16,000",Semi-Furnished,2,1,2 BHK Apartment ," Sangath Nano, Motera ",Ahmedabad
90,"25,000",Furnished,2,1,2 BHK Apartment , Paldi ,Ahmedabad
91,"23,000",Semi-Furnished,3,0,3 BHK Apartment ," Sun South Winds, South Bopal, Bopal ",Ahmedabad
92,"45,000",Unfurnished,3,1,4 BHK Penthouse ," Maan 2, Ambawadi ",Ahmedabad
93,"65,000",Furnished,4,2,4 BHK Villa ," Green Park, Sanathal ",Ahmedabad
94,"34,000",Furnished,3,3,3 BHK Apartment , Science City ,Ahmedabad
95,"45,000",Semi-Furnished,2,1,3 BHK Apartment , Jay Ambe Nagar ,Ahmedabad
96,"75,000",Furnished,3,1,3 BHK Apartment ," 78 at Gokuldham, Gokuldham ",Ahmedabad
97,100000,Semi-Furnished,5,2,4 BHK Villa ," Shivam Monreve, Sindhu Bhavan Marg ",Ahmedabad
98,"20,000",Unfurnished,2,0,2 BHK Apartment ," Orchid Blues, Shela ",Ahmedabad
99,"42,000",Furnished,3,2,3 BHK Apartment ," Adani The Meadows, Vaishnodevi Circle ",Ahmedabad
100,"50,000",Semi-Furnished,4,1,4 BHK Apartment , Vastrapur ,Ahmedabad
101,"33,000",Semi-Furnished,3,1,3 BHK Apartment ," Swati Parkside, Shela ",Ahmedabad
102,"25,000",Unfurnished,3,0,3 BHK Villa , Hansol ,Ahmedabad
103,"50,000",Semi-Furnished,4,1,4 BHK Apartment ," Olive Greens, Gota ",Ahmedabad
104,"33,000",Furnished,3,3,3 BHK Apartment ," Eden Godrej Garden city, Jagatpur Village, Gota ",Ahmedabad
105,150000,Furnished,4,1,4 BHK Villa , Shilaj ,Ahmedabad
106,300000,Semi-Furnished,5,1,4 BHK Apartment ," The Bungalows, Satellite ",Ahmedabad
107,"35,000",Unfurnished,3,1,3 BHK Apartment ," Orchid Legacy, Sardar Patel Ring Road ",Ahmedabad
108,"40,000",Furnished,3,2,3 BHK Apartment ," Orchid Sky, Shela ",Ahmedabad
109,140000,Furnished,6,2,5 BHK Villa ," Kalhaar Bungalows, Thaltej Shilaj Road ",Ahmedabad
110,"23,500",Semi-Furnished,3,1,3 BHK Apartment ," Shaligram Prime, South Bopal, Bopal ",Ahmedabad
111,"38,500",Furnished,3,2,3 BHK Apartment ," Vraj Heights, Satellite ",Ahmedabad
112,"27,000",Unfurnished,2,0,3 BHK Apartment ," Nishant Richmond Grand Phase 2, Makarba ",Ahmedabad
113,"35,000",Unfurnished,4,1,3 BHK Villa , Samarpan Banglows- Bechraji ,Ahmedabad
114,300000,Furnished,4,2,4 BHK Apartment ," The Bungalows, Premchand Nagar Society, Satellite ",Ahmedabad
115,100000,Unfurnished,4,1,4 BHK Apartment ," Sharanya Skyvue, Thaltej ",Ahmedabad
116,"22,500",Unfurnished,2,1,2 BHK Apartment ," Darshan, Naranpura ",Ahmedabad
117,"24,000",Unfurnished,2,1,2 BHK Apartment ," Radiance Residency, Motera ",Ahmedabad
118,"10,000",Semi-Furnished,1,1,1 BHK Apartment , Chandkheda ,Ahmedabad
119,"30,000",Furnished,2,2,2 BHK Apartment ," Godrej Garden City, Gota ",Ahmedabad
