,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,"65,000",Semi-Furnished,3,1,3 BHK Flat," Egmore, ",Chennai
1,"27,000",Semi-Furnished,1,0,3 BHK Flat," T Nagar, ",Chennai
2,300000,Semi-Furnished,4,1,4 BHKHouse , Alwarpet ,Chennai
3,"18,000",Semi-Furnished,3,1,3 BHK Flat," Siruseri, ",Chennai
4,"25,000",Furnished,3,3,3 BHK Flat," Thirutheri R F, ",Chennai
5,200000,Unfurnished,4,4,4 BHKHouse , Boat Club Road ,Chennai
6,"17,199",Furnished,2,0,1 BHK Flat," Anna Nagar, ",Chennai
7,170000,Semi-Furnished,4,1,4 BHK Villa , Egmore ,Chennai
8,250000,Unfurnished,5,3,5 BHKHouse , Akkarai ,Chennai
9,"75,000",Semi-Furnished,4,2,4 BHK Flat," Panaiyur, ",Chennai
10,"40,000",Unfurnished,3,1,3 BHK Flat," Thoraipakkam, ",Chennai
11,"8,800",Unfurnished,2,1,2 BHKHouse , Thirumullaivoyal ,Chennai
12,"12,000",Semi-Furnished,3,0,3 BHKHouse , Avadi ,Chennai
13,"40,000",Unfurnished,2,0,3 BHK Flat," Pallavaram, ",Chennai
14,"6,500",Furnished,5,0,5 BHKHouse , Navalur ,Chennai
15,"22,000",Unfurnished,2,1,2 BHK Flat," Durgabai Deshmukh Road, ",Chennai
16,"4,500",Semi-Furnished,1,0,1 BHK Flat,  ,Chennai
17,"15,000",Furnished,2,0,3 BHK Flat," Poonamallee, ",Chennai
18,"13,000",Furnished,2,0,2 BHK Flat," Kelambakkam, ",Chennai
19,"10,000",Semi-Furnished,2,1,2 BHKHouse , Madambakkam ,Chennai
20,130000,Furnished,3,1,3 BHK Flat," Adyar, ",Chennai
21,"28,000",Semi-Furnished,2,1,2 BHK Flat," Saidapet, ",Chennai
22,"13,500",Semi-Furnished,2,0,2 BHK Flat," Thillaiganga Nagar, ",Chennai
23,"17,000",Semi-Furnished,2,0,2 BHK Flat," Tambaram Sanatorium, ",Chennai
24,"8,000",Semi-Furnished,1,0,1 BHKHouse , Taramani ,Chennai
25,300000,Semi-Furnished,3,1,3 BHK Flat," Santhome, ",Chennai
26,"23,000",Unfurnished,2,2,2 BHK Flat," Medavakkam, ",Chennai
27,"35,000",Unfurnished,2,2,3 BHK Villa , Virugambakkam ,Chennai
28,"52,000",Unfurnished,3,0,3 BHK Villa , Old Mahabalipuram Road  ,Chennai
29,120000,Furnished,5,3,4 BHK Flat," East Coast Road, ",Chennai
30,"60,000",Furnished,3,1,3 BHK Apartment , Oragadam ,Chennai
31,160000,Semi-Furnished,3,1,4 BHK Villa , East Coast Road ,Chennai
32,"30,000",Furnished,4,2,4 BHKHouse , Moulivakkam ,Chennai
33,"42,000",Semi-Furnished,2,1,3 BHK Apartment , T Nagar ,Chennai
34,"14,500",Semi-Furnished,2,1,2 BHK Builder Floor , Iyyappanthangal ,Chennai
35,"25,000",Semi-Furnished,2,2,3 BHK Apartment , Madipakkam ,Chennai
36,"8,000",Unfurnished,1,1,1 BHK Apartment , Maraimalai Nagar ,Chennai
37,"11,000",Furnished,2,1,3 BHK Apartment , Kalavakkam ,Chennai
38,"28,000",Furnished,2,2,3 BHK Apartment , Padur ,Chennai
39,"15,000",Unfurnished,2,1,2 BHK Apartment , Moulivakkam ,Chennai
40,"16,000",Unfurnished,2,0,2 BHKHouse , Kattupakkam ,Chennai
41,"24,000",Semi-Furnished,3,0,2 BHK Apartment , Secretariat Colony Purasaiwakkam ,Chennai
42,"35,000",Semi-Furnished,3,0,3 BHKHouse , Neelankarai ,Chennai
43,"14,000",Furnished,2,1,2 BHK Apartment , Adyar ,Chennai
44,"80,000",Semi-Furnished,4,2,4 BHK Apartment , Navalur ,Chennai
45,"8,000",Unfurnished,2,0,2 BHK Builder Floor , Thirumullaivoyal ,Chennai
46,"12,000",Unfurnished,2,0,2 BHK Builder Floor , Poonamallee ,Chennai
47,"8,500",Unfurnished,1,0,2 BHKHouse , Medavakkam ,Chennai
48,"48,000",Semi-Furnished,4,2,4 BHKHouse , Karapakkam ,Chennai
49,"18,500",Semi-Furnished,2,0,2 BHK Apartment , Thazhambur ,Chennai
50,150000,Semi-Furnished,4,0,4 BHKHouse , Perambur ,Chennai
51,"30,000",Furnished,2,2,2 BHK Apartment , Kelambakkam ,Chennai
52,"15,000",Unfurnished,2,0,2 BHKHouse , Moovarasampettai ,Chennai
53,"13,000",Semi-Furnished,2,0,2 BHKHouse , Shanmuga Nagar Pozhichalur ,Chennai
54,"20,000",Semi-Furnished,2,1,2 BHKHouse , Mount Road ,Chennai
55,"46,000",Semi-Furnished,3,1,5 BHKHouse , Alagiri Nagar ,Chennai
56,"19,000",Semi-Furnished,2,1,2 BHKHouse , TNHB Nolambur ,Chennai
57,"35,000",Semi-Furnished,2,1,3 BHK Apartment , Perungalathur ,Chennai
58,"25,000",Semi-Furnished,2,0,2 BHK Apartment , Kelambakkam ,Chennai
59,"45,000",Semi-Furnished,3,3,3 BHK Apartment , Pallavaram ,Chennai
60,100000,Unfurnished,1,1,1 BHKHouse , Kuthanur ,Chennai
61,"13,500",Unfurnished,2,1,2 BHK Builder Floor , Poonamallee High Road ,Chennai
62,"13,000",Semi-Furnished,2,0,2 BHK Villa , Kattupakkam ,Chennai
63,"12,000",Unfurnished,2,0,2 BHKHouse , Chikkarayapuram ,Chennai
64,"29,000",Semi-Furnished,3,2,2 BHK Apartment , Sholinganallur ,Chennai
65,"50,000",Furnished,2,2,2 BHK Apartment , Anna Nagar ,Chennai
66,"25,000",Unfurnished,2,2,3 BHK Apartment , New Colony Chromepet ,Chennai
67,"10,000",Unfurnished,1,1,1 BHK Apartment , Govindarajapuram ,Chennai
68,"38,000",Semi-Furnished,4,2,5 BHKHouse , Athipet ,Chennai
69,120000,Furnished,3,2,3 BHK Apartment , Kotturpuram ,Chennai
70,150000,Semi-Furnished,4,2,3 BHK Apartment , Boat Club Road ,Chennai
71,"55,000",Semi-Furnished,4,2,3 BHK Apartment , Navalur ,Chennai
72,"65,000",Semi-Furnished,3,2,3 BHK Apartment , Nungambakkam ,Chennai
73,400000,Semi-Furnished,4,2,4 BHKHouse , Akkarai ,Chennai
74,"24,000",Unfurnished,2,4,2 BHK Apartment , Kilpauk ,Chennai
75,"18,000",Semi-Furnished,2,2,3 BHK Apartment , Kelambakkam ,Chennai
76,"35,000",Unfurnished,2,1,2 BHK Apartment , Mylapore ,Chennai
77,"70,000",Semi-Furnished,3,3,3 BHK Apartment , Egmore ,Chennai
78,"40,000",Semi-Furnished,3,1,3 BHK Builder Floor , Kottivakkam ,Chennai
79,"70,000",Semi-Furnished,4,2,3 BHK Apartment , Anna Nagar West ,Chennai
80,220000,Furnished,5,3,4 BHKHouse , Akkarai ,Chennai
81,"45,000",Furnished,3,1,3 BHK Apartment , Kalakshetra Colony ,Chennai
