,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,"30,000",Unfurnished,3,3,3 BHK Flat," Adani M2K Oyster Grande, Sector 102, ",Gurgaon
1,"50,000",Semi-Furnished,3,3,3 BHK Flat," Sobha City, Sector 108, ",Gurgaon
2,330000,Semi-Furnished,5,3,5 BHK Flat," Ambience Caitriona, Sector 24, ",Gurgaon
3,"27,000",Semi-Furnished,2,2,2 BHK Flat," Shapoorji Pallonji Joyville, Sector 102, ",Gurgaon
4,"20,000",Semi-Furnished,2,0,2 BHK Flat," Pyramid Urban Homes 2, Sector 86, ",Gurgaon
5,229999,Semi-Furnished,6,4,5 BHK Flat," Emaar The Palm Springs, Sector 54, ",Gurgaon
6,"35,000",Semi-Furnished,3,0,3 BHK Flat," Orchid Mayfield Gardens , Sector 50, ",Gurgaon
7,"46,000",Semi-Furnished,2,2,2 BHK Flat," M3M Skywalk, Begumpur Khatola, Sector 74, ",Gurgaon
8,"75,000",Semi-Furnished,4,0,4 BHK Flat," Emerald Floors Premier, Sector 65, ",Gurgaon
9,"60,000",Semi-Furnished,5,5,4 BHK Flat," Central Park 3, Sohna Sector 33, ",Gurgaon
10,"40,000",Semi-Furnished,3,3,3 BHK Flat," Godrej 101, Sector 79, ",Gurgaon
11,110000,Semi-Furnished,6,4,5 BHK Villa ," Sobha International City Presidential Villa, Sector 109 ",Gurgaon
12,"45,000",Semi-Furnished,3,2,3 BHK Flat," Sector 57, ",Gurgaon
13,"27,000",Semi-Furnished,2,1,3 BHK Flat," Emaar Palm Hills, Sector 77, Delhi  Expressway, ",Gurgaon
14,"28,000",Unfurnished,3,3,3 BHK Flat," DLF New Town Heights 2, Sector 86, ",Gurgaon
15,"33,000",Semi-Furnished,4,4,4 BHK Flat," DLF New Town Heights 3, Garden City, Sector 91, ",Gurgaon
16,170000,Semi-Furnished,4,4,4 BHK Flat," La Lagune , Golf Course Road, ",Gurgaon
17,"26,000",Semi-Furnished,2,4,3 BHK Flat," Experion Heartsong, Sector 108, ",Gurgaon
18,120000,Semi-Furnished,4,1,4 BHK Flat," Dlf City Phase 4, Sector 28, ",Gurgaon
