,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,"90,000",Semi-Furnished,4,2,3 BHK Flat," Jayabheri Enclave, ",Hyderabad
1,"25,000",Semi-Furnished,3,0,3 BHK Flat," Sainikpuri, ",Hyderabad
2,120000,Semi-Furnished,4,2,4 BHK Villa ," Tellapur, Outer Ring Road ",Hyderabad
3,"27,000",Semi-Furnished,5,3,4 BHKHouse ," Uppal, NH 2 2 ",Hyderabad
4,"55,000",Semi-Furnished,3,2,3 BHK Flat," Kokapet, Outer Ring Road, ",Hyderabad
5,260000,Furnished,5,2,4 BHKHouse ," Banjara Hills, NH  9 ",Hyderabad
6,"20,099",Furnished,2,0,1 BHK Flat," Kondapur, ",Hyderabad
7,"52,000",Unfurnished,3,1,3 BHK Flat," Kondapur, ",Hyderabad
8,"55,000",Furnished,3,2,3 BHK Flat," Hitech City, ",Hyderabad
9,180000,Unfurnished,5,4,4 BHK Villa ," Kokapet, Outer Ring Road ",Hyderabad
10,"60,000",Semi-Furnished,3,1,3 BHK Flat," Kondapur, ",Hyderabad
11,140000,Semi-Furnished,4,2,4 BHK Villa , Gachibowli ,Hyderabad
12,140000,Semi-Furnished,6,2,4 BHK Villa , Kondapur ,Hyderabad
13,"27,000",Semi-Furnished,2,2,2 BHK Flat," Hitech City, ",Hyderabad
14,"40,000",Semi-Furnished,3,3,3 BHK Flat," Kondapur, ",Hyderabad
15,"6,000",Semi-Furnished,1,1,1 BHK Flat," Turkayamjal, ",Hyderabad
16,"47,000",Semi-Furnished,2,2,3 BHK Flat," Nalagandla, ",Hyderabad
17,"12,000",Semi-Furnished,2,1,2 BHK Flat," Sainikpuri, ",Hyderabad
18,"10,000",Unfurnished,1,1,1 BHKHouse , Gurram Guda ,Hyderabad
19,"30,000",Semi-Furnished,2,1,2 BHKHouse , TNGOS Colony ,Hyderabad
20,"80,000",Semi-Furnished,4,0,4 BHK Villa ," Tellapur, Outer Ring Road ",Hyderabad
21,"35,000",Semi-Furnished,2,2,3 BHK Flat," Raghavendra Colony Kondapur, ",Hyderabad
22,100000,Semi-Furnished,10,4,8 BHKHouse ," Mahendra Hills, Secunderabad ",Hyderabad
23,"95,000",Semi-Furnished,3,1,3 BHK Flat," Nanakaramguda, ",Hyderabad
24,"7,000",Semi-Furnished,2,2,2 BHK Flat,  ,Hyderabad
25,140000,Semi-Furnished,4,2,4 BHK Villa , Gachibowli ,Hyderabad
