,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,250000,Unfurnished,5,1,5 BHK Flat," PS  Aurus, Eastern Metropolitan Bypass, ",Kolkata
1,"20,500",Semi-Furnished,2,2,3 BHK Flat," Rajwada Springfield, Narendrapur Rajpur Sonarpur, ",Kolkata
2,140000,Furnished,4,2,4 BHK Flat," One Rajarhat, Action Area I, ",Kolkata
3,350000,Furnished,4,1,4 BHK Flat," PS The Reserve, Ballygunge, ",Kolkata
4,"50,000",Furnished,3,2,3 BHK Flat," Avidipta, Eastern Metropolitan Bypass, ",Kolkata
5,"15,000",Unfurnished,2,1,2 BHK Flat," Shapoorji Pallonji Shukhobrishti Spandan Phase 10, Action Area III, ",Kolkata
6,"33,000",Semi-Furnished,3,1,3 BHK Flat," DLF New Town Heights, Rajarhat, ",Kolkata
7,"75,000",Semi-Furnished,3,1,3 BHK Flat," Urbana NRI Complex, Anandapur, ",Kolkata
8,"16,000",Unfurnished,3,2,3 BHK Flat," Gharoa, Rajarhat, ",Kolkata
9,"20,000",Unfurnished,2,2,2 BHK Flat," Diamond City North, Nagerbazar, ",Kolkata
10,"95,000",Furnished,3,3,3 BHK Villa ," Sanjeeva Gardens, Rajarhat ",Kolkata
11,"46,000",Unfurnished,2,2,2 BHK Flat," Rosedale Garden, New Town, ",Kolkata
12,"60,000",Semi-Furnished,3,2,3 BHK Flat," One Rajarhat, New Town, ",Kolkata
13,"25,000",Unfurnished,2,1,3 BHK Flat," Action Area I, ",Kolkata
14,"70,000",Unfurnished,3,2,3 BHK Flat," Sunny Park, Ballygunge, ",Kolkata
15,"5,000",Unfurnished,1,1,1 BHK Flat," Sanhita Township Project, Saduli, ",Kolkata
16,"10,000",Semi-Furnished,2,0,2 BHK Flat," Laxmi Narayan Colony Garia, ",Kolkata
17,"9,000",Furnished,2,1,2 BHK Flat," Future Tower, Rahara, ",Kolkata
18,"12,000",Unfurnished,2,1,2 BHK Flat," Kalikapur Haltu, ",Kolkata
19,"20,000",Unfurnished,2,1,3 BHK Flat," Dum Dum, ",Kolkata
20,"18,000",Semi-Furnished,1,0,2 BHK Flat," Bowbazar, ",Kolkata
21,"13,000",Unfurnished,2,0,2 BHK Flat," Picnic Garden, Tiljala, ",Kolkata
22,"16,000",Semi-Furnished,2,1,3 BHK Flat," Star Green Tower, Belghoria Expressway, ",Kolkata
