,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,350000,Semi-Furnished,3.0,3,3 BHK Flat," Lodha World One, Worli, ",Mumbai
1,"41,000",Semi-Furnished,2.0,0,1 BHK Flat," Piramal Revanta, Mulund West, ",Mumbai
2,390000,Semi-Furnished,4.0,1,3 BHK Flat," Lodha World View, Worli, ",Mumbai
3,300000,Semi-Furnished,4.0,0,4 BHK Flat," Lodha Kiara, Worli, ",Mumbai
4,"80,000",Unfurnished,3.0,0,3 BHK Flat," Bhakti Park, Wadala East, ",Mumbai
5,"50,000",Unfurnished,2.0,0,2 BHK Flat," Arkade Earth, Kanjurmarg East, ",Mumbai
6,120000,Semi-Furnished,3.0,1,3 BHK Flat," L&T Emerald Isle, Powai, ",Mumbai
7,110000,Unfurnished,3.0,0,3 BHK Flat," Prabhat Colony, ",Mumbai
8,"85,000",Furnished,3.0,2,3 BHK Flat," Synchronicity, Chandivali, ",Mumbai
9,270000,Semi-Furnished,3.0,0,3 BHK Flat," Lodha Marquise, Worli, ",Mumbai
10,150000,Semi-Furnished,3.0,5,3 BHK Flat," L&T Crescent Bay, Parel, ",Mumbai
11,120000,Semi-Furnished,4.0,2,3 BHK Flat," Lodha Fiorenza, Goregaon East, ",Mumbai
12,140000,Unfurnished,4.0,2,3 BHK Flat," Wadhwa Imperial Heights, Goregaon West, ",Mumbai
13,"68,000",Semi-Furnished,2.0,2,2 BHK Flat," Sunteck City Avenue 1, Goregaon West, ",Mumbai
14,"48,000",Semi-Furnished,2.0,0,2 BHK Flat," Piramal Revanta, Moti Nagar, ",Mumbai
15,140000,Semi-Furnished,4.0,0,4 BHK Flat," Raheja Ridgewood, Goregaon East, ",Mumbai
16,"38,000",Unfurnished,2.0,0,2 BHK Flat," Runwal Forests, Kanjurmarg West, ",Mumbai
17,"65,000",Furnished,2.0,1,2 BHK Flat," Chandivali, ",Mumbai
18,300000,Furnished,3.0,3,2 BHK Flat," Naman Residency, Bandra Kurla Complex, ",Mumbai
19,"75,000",Semi-Furnished,2.0,1,2 BHK Flat," Kanakia Silicon Valley, Hiranandani Gardens, ",Mumbai
20,"35,000",Furnished,2.0,0,2 BHK Flat," Lokhandwala Green Meadows, Lokhandwala Twp, ",Mumbai
21,"53,000",Furnished,2.0,0,2 BHK Flat," Wadhwa Atmosphere, Mulund West, ",Mumbai
22,"55,000",Furnished,1.0,0,1 BHK Flat," Godrej Prime, Chembur, ",Mumbai
23,"84,000",Unfurnished,3.0,0,3 BHK Flat," Saptaratna Towers, Malad West, ",Mumbai
24,150000,Unfurnished,2.0,1,2 BHK Flat," Lodha Park, Bhim Nagar, ",Mumbai
25,650000,Unfurnished,4.0,1,4 BHK Flat," Mount Mary, ",Mumbai
26,200000,Semi-Furnished,4.0,0,3 BHK Flat," Lodha Kiara, Worli, ",Mumbai
27,"45,000",Unfurnished,2.0,1,2 BHK Flat," Ekta Meadows, Siddhartha Nagar, ",Mumbai
28,200000,Unfurnished,4.0,0,4 BHK Flat," Vile Parle East, ",Mumbai
29,330000,Semi-Furnished,4.0,1,3 BHK Flat," Lodha World View, Worli, ",Mumbai
30,"70,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Omkar Meridia, Bandra Kurla Complex ",Mumbai
31,430000,Semi-Furnished,5.0,1,4 BHK Apartment ," Raheja Atlantis, Worli ",Mumbai
32,"85,000",Semi-Furnished,2.0,0,2 BHK Apartment ," Kanakia Silicon Valley, Powai ",Mumbai
33,229999,Semi-Furnished,3.0,0,3 BHK Apartment ," Lodha Marquise, Worli ",Mumbai
34,"49,500",Furnished,2.0,2,2 BHK Apartment ," Runwal Greens, Mulund West ",Mumbai
35,1300000,Furnished,5.0,1,4 BHK Apartment ," K Raheja Artesia, Worli ",Mumbai
36,200000,Furnished,3.0,1,3 BHK Apartment , Bandra West ,Mumbai
37,"67,000",Semi-Furnished,3.0,1,3 BHK Apartment ," Epsilon, Thakur Village, Kandivali East ",Mumbai
