,price,Furnishing,Bathroom,Balcony,bhk,locality,City
0,"90,000",Semi-Furnished,3,3,4 BHK Flat," Rahul Arcus, Balewadi Phata, Baner, ",Pune
1,"65,000",Furnished,3,2,4 BHK Flat," Marvel Zephyr, EON Free Zone, Kharadi, ",Pune
2,"12,000",Unfurnished,2,2,2 BHK Flat," Optima Heights Phase 4, Kesnand, ",Pune
3,"18,600",Unfurnished,2,1,2 BHK Flat," Astoria Royals, Ravet, Pimpri Chinchwad, ",Pune
4,"44,000",Semi-Furnished,2,1,2 BHK Flat," Ganga Platino, Kharadi, ",Pune
5,"30,000",Unfurnished,3,2,3 BHK Flat," Kingston Atlantis, NIBM Annexe Area, ",Pune
6,"35,000",Unfurnished,2,1,2 BHK Flat," Blue Ridge, Hinjawadi, ",Pune
7,150000,Semi-Furnished,5,2,4 BHK Flat," One North, Magarpatta, ",Pune
8,"17,500",Unfurnished,2,2,2 BHK Flat," Vertical Alcinia, Mohammed Wadi, ",Pune
9,"35,000",Unfurnished,2,2,2 BHK Flat," Meander, Kharadi, ",Pune
10,250000,Furnished,5,2,4 BHK Flat," Kasturi the Balmoral Estate, Baner, ",Pune
11,"25,000",Furnished,2,2,2 BHKHouse ," Vishrantwadi, Airport Road ",Pune
12,"78,000",Unfurnished,3,2,3 BHK Flat," Panchshil Towers, EON Free Zone, Kharadi, ",Pune
13,"79,000",Semi-Furnished,4,5,3 BHK Flat," Panchshil Towers, Kharadi, ",Pune
14,"38,000",Semi-Furnished,3,3,3 BHK Villa ," Pimple Saudagar, Pimpri Chinchwad ",Pune
15,"40,000",Unfurnished,3,2,3 BHK Flat," Sadhu Vaswani Road, ",Pune
16,"50,000",Furnished,3,3,3 BHK Flat," Brahma Suncity Platinum, Kalyani Nagar, ",Pune
17,"48,000",Furnished,4,2,3 BHK Villa ," Jagtap Dairy, Pimpri Chinchwad ",Pune
18,"25,000",Unfurnished,2,2,2 BHK Flat," Aswani Galaxy, Kaspate Wasti, ",Pune
19,"75,000",Furnished,3,2,3 BHK Flat," Viman Nagar, ",Pune
20,120000,Semi-Furnished,5,3,4 BHK Flat," Park Grandeur, Baner, ",Pune
21,"57,000",Semi-Furnished,3,2,3 BHK Flat," Erandwane, ",Pune
22,"35,000",Semi-Furnished,3,2,3 BHK Flat," Kolte-Patil 24k Glamore, Hills and Dales, ",Pune
23,110000,Semi-Furnished,5,2,4 BHK Flat," The Ark Voyage To The Stars, NIBM Road, ",Pune
24,"15,999",Furnished,1,0,1 BHK Flat," Wakad, ",Pune
25,"27,000",Furnished,2,1,2 BHK Flat," Ganga Aurum, Tathawade Pimpri Chinchwad, ",Pune
26,300000,Furnished,4,1,4 BHK Flat," Amar Westview, Meera Nagar, Koregaon Park, ",Pune
27,"40,000",Unfurnished,3,1,3 BHK Flat," Sheela Vihar Colony, ",Pune
28,"15,000",Unfurnished,2,3,2 BHK Flat," Nyati Ebony, Undri, ",Pune
29,240000,Unfurnished,4,2,4 BHK Flat," Verde Residence collection, Kalyani Nagar, ",Pune
30,"46,000",Unfurnished,2,1,2 BHK Apartment ," Ganga Platino Commercial , Kharadi ",Pune
31,"65,000",Semi-Furnished,4,2,3 BHK Apartment ," Ganga Platino, Kharadi ",Pune
32,"40,000",Furnished,2,2,2 BHK Apartment ," Kunal Aspiree, Balewadi ",Pune
33,190000,Semi-Furnished,4,2,4 BHK Apartment , Balewadi ,Pune
34,"25,000",Unfurnished,2,2,2 BHK Apartment ," Silver Gracia, Ravet, Pimpri Chinchwad ",Pune
35,120000,Furnished,3,2,3 BHK Apartment ," Rohan 1 Modibaug, Shivajinagar ",Pune
36,"75,000",Furnished,4,3,3 BHK Apartment ," river crest, Boat Club Road ",Pune
37,100000,Semi-Furnished,3,3,3 BHK Apartment ," Supreme Pallacio, Baner ",Pune
38,150000,Semi-Furnished,4,4,4 BHK Apartment ," One North, Magarpatta ",Pune
39,"36,000",Unfurnished,3,1,3 BHK Apartment ," Kolte-Patil 24k Glamore, NIBM Road ",Pune
40,"80,000",Semi-Furnished,5,2,3 BHK Apartment ," Panchshil Towers, Kharadi ",Pune
41,"18,000",Unfurnished,2,2,2 BHK Apartment ," Panama Park, Lohegaon ",Pune
42,"80,000",Semi-Furnished,5,1,3 BHK Apartment ," Panchshil Towers, EON Free Zone, Kharadi ",Pune
43,"42,000",Unfurnished,2,2,2 BHK Apartment ," Forest Edge, Kharadi ",Pune
44,"17,000",Unfurnished,2,2,2 BHK Apartment ," Life Park, Undri ",Pune
45,"45,000",Semi-Furnished,3,2,3 BHK Villa ," Purple Cloud 9, NIBM Road ",Pune
46,250000,Semi-Furnished,4,2,4 BHK Apartment ," Kasturi the Balmoral Estate, Baner ",Pune
47,"42,000",Unfurnished,3,2,3 BHK Apartment ," Raheja Reserve, NIBM Road ",Pune
48,"90,000",Semi-Furnished,5,2,3 BHK Apartment ," Panchshil Towers, EON Free Zone, Kharadi ",Pune
49,150000,Unfurnished,4,2,4 BHK Apartment ," Panchshil Towers, Kharadi ",Pune
50,"30,000",Furnished,2,1,2 BHK Apartment ," R7 LIFE REPUBLIC, Hinjawadi ",Pune
51,"45,000",Furnished,2,1,2 BHK Apartment ," Anand Residency, Kothrud ",Pune
52,120000,Unfurnished,5,3,5 BHK Apartment , Phase 1 Hinjewadi Rajiv Gandhi Infotech Park ,Pune
53,"65,000",Furnished,3,1,3 BHK Apartment ," Kolte Patil Tuscan Estate Signature Meadows, EON Free Zone, Kharadi ",Pune
54,"32,000",Furnished,2,2,2 BHK Apartment , Balewadi ,Pune
55,"42,000",Unfurnished,3,2,3 BHK Apartment ," Kakkad Madhukosh, Balewadi ",Pune
56,"75,000",Furnished,3,1,2 BHK Apartment ," Lodha Belmondo, Mumbai  Expressway ",Pune
57,"45,000",Unfurnished,2,2,2 BHK Apartment ," Ganga Platino, EON Free Zone, Kharadi ",Pune
58,"32,000",Semi-Furnished,3,4,3 BHK Apartment ," Mantra Insignia, Keshav Nagar Mundhwa ",Pune
